rosbagTimestamp,data
1551189616299241151,77.0
1551189616299956254,77.0
1551189616300631554,77.0
1551189616302326363,23.0
1551189616303081334,23.0
1551189616303693271,23.0
1551189616304507619,23.0
1551189616305133594,23.0
1551189616305748611,23.0
1551189616306471608,23.0
1551189616308171563,0.0
1551189616308874239,0.0
1551189616309562258,0.0
1551189616311014719,0.0
1551189616311683148,0.0
1551189616312356553,0.0
1551189616313132170,0.0
1551189616313833213,0.0
1551189616314543283,0.0
1551189616315147381,0.0
1551189616315920086,77.0
1551189616316641704,77.0
1551189616318019477,0.0
1551189616318746138,0.0
1551189616319335497,0.0
1551189616320021738,0.0
1551189616320750716,0.0
1551189616321406094,0.0
1551189616322109898,0.0
1551189616322710890,0.0
1551189616323658659,56.0
1551189616324334143,56.0
1551189616325053311,56.0
1551189616326435470,1.0
1551189616327143827,1.0
1551189616329184798,48.0
1551189616329854320,48.0
1551189616330563938,48.0
1551189616331233098,48.0
1551189616331989438,77.0
1551189616332630759,77.0
1551189616334040315,1.0
1551189616334702737,1.0
1551189616335480149,1.0
1551189616336180888,1.0
1551189616336888115,1.0
1551189616337566858,1.0
1551189616339560411,58.0
1551189616340479560,56.0
1551189616341189269,56.0
1551189616342663199,2.0
1551189616343316644,2.0
1551189616344047267,2.0
1551189616344733601,2.0
1551189616345412208,2.0
1551189616346026697,2.0
1551189616346794282,2.0
1551189616348869415,77.0
1551189616349586387,77.0
1551189616351114254,2.0
1551189616351730628,2.0
1551189616352471220,2.0
1551189616353153917,2.0
1551189616355004130,74.0
1551189616355717598,74.0
1551189616356340648,74.0
1551189616357539295,56.0
1551189616360402688,3.0
1551189616361058311,3.0
1551189616361746987,3.0
1551189616362420348,3.0
1551189616363145062,3.0
1551189616363798492,3.0
1551189616364535998,3.0
1551189616365221788,3.0
1551189616365948141,77.0
1551189616366685840,77.0
1551189616367347041,77.0
1551189616370269398,3.0
1551189616371970639,91.0
1551189616372679936,91.0
1551189616374538708,94.0
1551189616375537090,56.0
1551189616376265089,56.0
1551189616377796369,4.0
1551189616379864204,98.0
1551189616380570764,98.0
