rosbagTimestamp,data
1553088641884459904,1.0
1553088641885029605,1.0
1553088641885746111,1.0
1553088641887805881,44.0
1553088641888542111,44.0
1553088641889340021,44.0
1553088641890071787,44.0
1553088641890843688,215.0
1553088641891519913,215.0
1553088641893099439,1.0
1553088641893719715,1.0
1553088641895030556,1.0
1553088641897112862,54.0
1553088641897873839,54.0
1553088641898593979,54.0
1553088641899548705,208.0
1553088641900222378,208.0
1553088641902302946,2.0
1553088641903038630,2.0
1553088641903727382,2.0
1553088641904401685,2.0
1553088641905131216,2.0
1553088641907210495,64.0
1553088641907997474,215.0
1553088641908724375,215.0
1553088641910231413,2.0
1553088641910963558,2.0
1553088641922162960,70.0
1553088641924223043,74.0
1553088641924940142,74.0
1553088641927098006,84.0
1553088641928245561,84.0
1553088641928969979,84.0
1553088641929663480,84.0
1553088641933267079,90.0
1553088641933950771,90.0
1553088641934617805,90.0
1553088641935278918,90.0
1553088641937322242,215.0
1553088641938008524,215.0
1553088641939441819,3.0
1553088641940082871,3.0
1553088641940794233,3.0
1553088641941458050,3.0
1553088641942110569,3.0
1553088641942765919,3.0
1553088641943426838,3.0
1553088641944061529,3.0
1553088641944896090,215.0
1553088641945567213,215.0
1553088641948327154,6.0
1553088641948981420,6.0
1553088641950719379,108.0
1553088641951384939,108.0
1553088641953243891,110.0
1553088641954585226,215.0
1553088641955275816,215.0
1553088641964769807,5.0
1553088641965404444,5.0
1553088641967437198,124.0
1553088641968112148,124.0
1553088641970615198,215.0
1553088641971623249,215.0
1553088641974001643,215.0
1553088641974940051,215.0
1553088641978509710,215.0
1553088641980761224,215.0
1553088641981767402,215.0
1553088641982749011,215.0
1553088641983789025,215.0
1553088641984790091,215.0
1553088641987378180,215.0
1553088641988332300,215.0
1553088641989213265,215.0
1553088641991574519,215.0
1553088641993942977,215.0
1553088641995027227,215.0
1553088641997587054,215.0
1553088641998577023,215.0
1553088642000944804,215.0
1553088642001967041,215.0
1553088642003000104,215.0
1553088642003996707,215.0
1553088642005015683,215.0
1553088642007600267,215.0
1553088642008567356,215.0
1553088642009504069,215.0
1553088642011800816,215.0
1553088642014122518,215.0
1553088642015024577,215.0
1553088642017562583,215.0
1553088642018547123,215.0
1553088642020970110,215.0
1553088642021887164,215.0
1553088642022899827,215.0
1553088642023894377,215.0
1553088642024822982,215.0
1553088642027496855,215.0
1553088642028402026,215.0
1553088642030239450,215.0
1553088642034026373,215.0
1553088642034998536,215.0
1553088642037443486,215.0
1553088642038391705,215.0
1553088642040727298,215.0
1553088642041731373,215.0
1553088642042743264,215.0
1553088642043706441,215.0
1553088642059602255,215.0
1553088642064629453,215.0
1553088642067236612,215.0
1553088642068296776,215.0
1553088642069286188,215.0
1553088642073012904,215.0
1553088642073986251,215.0
1553088642074947652,215.0
1553088642077755642,215.0
1553088642078718957,215.0
1553088642081105171,215.0
1553088642082192473,215.0
1553088642082788919,1.0
1553088642084719811,0.0
1553088642088910514,0.0
1553088642095164413,0.0
1553088642101837305,0.0
1553088642103686068,0.0
1553088642105479238,0.0
1553088642109852308,0.0
1553088642118615309,0.0
1553088642122645964,0.0
1553088642124499413,0.0
1553088642128857241,0.0
1553088642135368455,0.0
1553088642142207174,0.0
1553088642144231494,0.0
1553088642148666130,0.0
1553088642155152262,0.0
1553088642161898300,0.0
1553088642163857225,0.0
1553088642168263428,0.0
1553088642174771435,0.0
1553088642189151701,0.0
1553088642205007479,0.0
1553088642209434008,0.0
1553088642219108218,1.0
1553088642219911466,1.0
1553088642222814118,0.0
1553088642223545566,0.0
1553088642224336788,0.0
1553088642225229286,0.0
1553088642227482924,128.0
1553088642228297777,128.0
1553088642234751144,0.0
1553088642241094300,141.0
1553088642242698634,0.0
1553088642243645633,0.0
1553088642244200369,0.0
1553088642244981807,0.0
1553088642247248922,148.0
1553088642248067471,148.0
1553088642248863493,148.0
1553088642255275504,0.0
1553088642261438533,161.0
1553088642263010962,0.0
1553088642263641961,0.0
1553088642264411819,0.0
