rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw,front_x,front_y,front_z,back_x,back_y,back_z,left_x,left_y,left_z,right_x,right_y,right_z
[nsec],[meter],[meter],[meter],[rad],[rad],[rad],[mm],[mm],[mm],[mm],[mm],[mm],[pixel],[meter],[meter],[meter],[radian],[radian],[radian],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter]
since ros start,world coord.,world coord.,world coord.,world coord.,world coord.,world coord.,LC,LC,LC,LC,LC,LC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC
1.55283374074689E+018,-0.0013871001,-7.0833528298E-05,0.0450633653,0.0126528854,0.0030461341,0.0004165906,1.49,1.298,3.95,2.989,0.551,0.041,-0.0474974401,-0.0001117415,5.37283231097E-05,0.0109649116,0.0097731309,0.0003676614,1.4895220692,0.0006456596,0.0609916443,-1.2986449087,-0.0005546375,0.0396063074,-0.0019748044,2.9886465371,0.0870191592,-0.000511814,-0.5509562691,0.0437002621
1.55283374076659E+018,-0.0007476459,0.000011996,0.0513870791,0.0109520804,-0.0037774937,0.0003951422,1.49,1.298,3.95,2.989,0.551,0.041,-0.0450633653,-0.0013871001,-7.0833528298E-05,0.0109535731,0.003777494,0.0003951394,1.4895220692,0.0006456596,0.0609916443,-1.2986449087,-0.0005546375,0.0396063074,-0.0019748044,2.9886465371,0.0870191592,-0.000511814,-0.5509562691,0.0437002621
1.55283374078708E+018,-0.0007476459,0.000011996,0.0513870791,0.010766276,-0.0100366583,0.000336369,1.49,1.298,3.95,2.989,0.551,0.041,-0.0450633653,-0.0013871001,-7.0833528298E-05,0.0109535731,0.003777494,0.0003951394,1.4895220692,0.0006456596,0.0609916443,-1.2986449087,-0.0005546375,0.0396063074,-0.0019748044,2.9886465371,0.0870191592,-0.000511814,-0.5509562691,0.0437002621
1.55283374080689E+018,-0.0002904352,-0.0001751855,0.0518042371,0.0120884741,-0.0086366148,0.0003033717,1.486,1.298,3.95,2.989,0.551,0.043,-0.0513870791,-0.0007476459,0.000011996,0.010769652,0.0100366589,0.0003363521,1.485177425,0.0005118152,0.0663013029,-1.2986449087,-0.0005546375,0.0396063074,-0.0019748044,2.9886465371,0.0870191592,-0.000511814,-0.5509562691,0.0437002621
1.55283374082705E+018,-0.0002350417,3.06011497742E-05,0.0494231135,0.010707002,-0.0070476683,0.0003529122,1.486,1.429,3.866,2.667,0.551,0.043,-0.0518042371,-0.0002904352,-0.0001751855,0.0120910942,0.0086366152,0.0003033603,1.485177425,0.0005118152,0.0663013029,-1.4296755908,-0.0004686511,0.0370449351,-0.0019328688,2.6668571801,0.0800987363,-0.000511814,-0.5509562691,0.0437002621
1.5528337408468E+018,-0.0002877207,-0.000146058,0.0503796861,0.0124247835,-0.0083079807,0.0002954761,1.486,1.429,3.866,2.667,0.529,0.043,-0.0494231135,-0.0002350417,3.06011497742E-05,0.0107094892,0.0070476688,0.0003529034,1.485177425,0.0005118152,0.0663013029,-1.4296755908,-0.0004686511,0.0370449351,-0.0019328688,2.6668571801,0.0800987363,-7.47359491214E-05,-0.5291364932,0.0454098285
1.55283374086676E+018,-0.0007462317,0.000014867,0.0515656732,0.0109796753,-0.0023213264,0.0003591508,1.486,1.429,3.866,2.667,0.529,0.043,-0.0503796861,-0.0002877207,-0.000146058,0.010980509,0.0023213266,0.0003591498,1.485177425,0.0005118152,0.0663013029,-1.4296755908,-0.0004686511,0.0370449351,-0.0019328688,2.6668571801,0.0800987363,-7.47359491214E-05,-0.5291364932,0.0454098285
1.55283374088727E+018,-0.0002189503,5.07957447553E-05,0.0492099784,0.0111945976,-0.006531452,0.0003166263,1.486,1.429,3.866,2.667,0.529,0.043,-0.0503796861,-0.0002877207,-0.000146058,0.010980509,0.0023213266,0.0003591498,1.485177425,0.0005118152,0.0663013029,-1.4296755908,-0.0004686511,0.0370449351,-0.0019328688,2.6668571801,0.0800987363,-7.47359491214E-05,-0.5291364932,0.0454098285
