rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1552833740791854280,,1,,1552833740,791287899,"""cf1""",,1.486,0.0,0.0
1552833740886929887,,2,,1552833740,886385917,"""cf1""",,1.484,0.0,0.0
1552833741085204666,,3,,1552833741,84697961,"""cf1""",,1.482,0.0,0.0
1552833741186030012,,4,,1552833741,185458898,"""cf1""",,1.484,0.0,0.0
1552833741385443321,,5,,1552833741,384926080,"""cf1""",,1.486,0.0,0.0
1552833741484229734,,6,,1552833741,483820915,"""cf1""",,1.484,0.0,0.0
1552833741584849818,,7,,1552833741,584048986,"""cf1""",,1.487,0.0,0.0
1552833741684447687,,8,,1552833741,683542013,"""cf1""",,1.485,0.0,0.0
1552833741784372856,,9,,1552833741,783730983,"""cf1""",,1.49,0.0,0.0
1552833741883216465,,10,,1552833741,882752895,"""cf1""",,1.483,0.0,0.0
1552833741983609159,,11,,1552833741,982882022,"""cf1""",,1.487,0.0,0.0
1552833742091265218,,12,,1552833742,90558052,"""cf1""",,1.489,0.0,0.0
1552833742183641965,,13,,1552833742,183099985,"""cf1""",,1.484,0.0,0.0
1552833742283430219,,14,,1552833742,282793045,"""cf1""",,1.486,0.0,0.0
1552833742381906223,,15,,1552833742,381160974,"""cf1""",,1.482,0.0,0.0
1552833742490438622,,16,,1552833742,489875078,"""cf1""",,1.492,0.0,0.0
1552833742684464438,,17,,1552833742,683911085,"""cf1""",,1.497,0.0,0.0
1552833742780394835,,18,,1552833742,779897928,"""cf1""",,1.495,0.0,0.0
1552833742883052321,,19,,1552833742,882509946,"""cf1""",,1.497,0.0,0.0
1552833743082310280,,20,,1552833743,81674098,"""cf1""",,1.5,0.0,0.0
1552833743180143389,,21,,1552833743,179662942,"""cf1""",,1.501,0.0,0.0
1552833743279869887,,22,,1552833743,279232978,"""cf1""",,1.5,0.0,0.0
1552833743388617293,,23,,1552833743,388000965,"""cf1""",,1.501,0.0,0.0
1552833743479641460,,24,,1552833743,479017972,"""cf1""",,1.5,0.0,0.0
1552833743580713833,,25,,1552833743,580076932,"""cf1""",,1.502,0.0,0.0
1552833743684930112,,26,,1552833743,684259891,"""cf1""",,1.494,0.0,0.0
1552833743779931181,,27,,1552833743,779165029,"""cf1""",,1.5,0.0,0.0
1552833743877715733,,28,,1552833743,877114057,"""cf1""",,1.495,0.0,0.0
1552833743977502459,,29,,1552833743,976684093,"""cf1""",,1.494,0.0,0.0
1552833744078511883,,30,,1552833744,77975034,"""cf1""",,1.49,0.0,0.0
1552833744176559981,,31,,1552833744,175928115,"""cf1""",,1.493,0.0,0.0
1552833744285866827,,32,,1552833744,285095930,"""cf1""",,1.49,0.0,0.0
1552833744376903424,,33,,1552833744,376322031,"""cf1""",,1.491,0.0,0.0
1552833744476354879,,34,,1552833744,475675106,"""cf1""",,1.497,0.0,0.0
1552833744577806341,,35,,1552833744,576936960,"""cf1""",,1.494,0.0,0.0
1552833744677300625,,36,,1552833744,676697015,"""cf1""",,1.493,0.0,0.0
1552833744781903654,,37,,1552833744,781316995,"""cf1""",,1.49,0.0,0.0
1552833744881325864,,38,,1552833744,880664110,"""cf1""",,1.476,0.0,0.0
1552833744975388658,,39,,1552833744,974715948,"""cf1""",,1.474,0.0,0.0
1552833745075137788,,40,,1552833745,74517011,"""cf1""",,1.48,0.0,0.0
1552833745174254458,,41,,1552833745,173655986,"""cf1""",,1.49,0.0,0.0
1552833745273494988,,42,,1552833745,272870063,"""cf1""",,1.492,0.0,0.0
1552833745377460766,,43,,1552833745,376446962,"""cf1""",,1.49,0.0,0.0
1552833745474536036,,44,,1552833745,473907947,"""cf1""",,1.485,0.0,0.0
1552833745583951271,,45,,1552833745,583311080,"""cf1""",,1.473,0.0,0.0
1552833745672810231,,46,,1552833745,672233104,"""cf1""",,1.466,0.0,0.0
1552833745773151282,,47,,1552833745,772169113,"""cf1""",,1.469,0.0,0.0
1552833745872093847,,48,,1552833745,871514081,"""cf1""",,1.471,0.0,0.0
1552833745975943003,,49,,1552833745,975280046,"""cf1""",,1.484,0.0,0.0
1552833746083999399,,50,,1552833746,83086013,"""cf1""",,1.483,0.0,0.0
1552833746274689728,,51,,1552833746,273984909,"""cf1""",,1.482,0.0,0.0
1552833746372432579,,52,,1552833746,371856927,"""cf1""",,1.477,0.0,0.0
1552833746482496493,,53,,1552833746,481909036,"""cf1""",,1.471,0.0,0.0
1552833746571777411,,54,,1552833746,571137905,"""cf1""",,1.463,0.0,0.0
1552833746670154551,,55,,1552833746,669728994,"""cf1""",,1.465,0.0,0.0
1552833746770794161,,56,,1552833746,769895076,"""cf1""",,1.466,0.0,0.0
1552833746879516304,,57,,1552833746,878912925,"""cf1""",,1.468,0.0,0.0
1552833747071802800,,58,,1552833747,71247100,"""cf1""",,1.47,0.0,0.0
1552833747170394944,,59,,1552833747,169855117,"""cf1""",,1.471,0.0,0.0
1552833747272055349,,60,,1552833747,271291971,"""cf1""",,1.467,0.0,0.0
1552833747369591014,,61,,1552833747,368957996,"""cf1""",,1.466,0.0,0.0
1552833747467842757,,62,,1552833747,467442035,"""cf1""",,1.461,0.0,0.0
1552833747567243576,,63,,1552833747,566689968,"""cf1""",,1.455,0.0,0.0
1552833747670731815,,64,,1552833747,669863939,"""cf1""",,1.453,0.0,0.0
1552833747766665560,,65,,1552833747,766103029,"""cf1""",,1.457,0.0,0.0
1552833747867219816,,66,,1552833747,866455078,"""cf1""",,1.462,0.0,0.0
1552833747966396343,,67,,1552833747,965817928,"""cf1""",,1.471,0.0,0.0
1552833748065962732,,68,,1552833748,65185070,"""cf1""",,1.467,0.0,0.0
1552833748177252840,,69,,1552833748,176438093,"""cf1""",,1.478,0.0,0.0
1552833748267097320,,70,,1552833748,266283035,"""cf1""",,1.468,0.0,0.0
1552833748365542896,,71,,1552833748,364952087,"""cf1""",,1.465,0.0,0.0
1552833748576446405,,72,,1552833748,576081037,"""cf1""",,1.47,0.0,0.0
1552833748665073060,,73,,1552833748,664359092,"""cf1""",,1.467,0.0,0.0
1552833748864500539,,74,,1552833748,864109039,"""cf1""",,1.469,0.0,0.0
1552833748964498511,,75,,1552833748,964111089,"""cf1""",,1.475,0.0,0.0
1552833749063183402,,76,,1552833749,62345027,"""cf1""",,1.473,0.0,0.0
1552833749163155289,,77,,1552833749,162364006,"""cf1""",,1.484,0.0,0.0
1552833749263688912,,78,,1552833749,263051986,"""cf1""",,1.487,0.0,0.0
1552833749363767166,,79,,1552833749,363137006,"""cf1""",,1.477,0.0,0.0
1552833749471184327,,80,,1552833749,470621109,"""cf1""",,1.473,0.0,0.0
1552833749562005697,,81,,1552833749,561366081,"""cf1""",,1.472,0.0,0.0
1552833749662637306,,82,,1552833749,662066936,"""cf1""",,1.459,0.0,0.0
1552833749761660207,,83,,1552833749,761240959,"""cf1""",,1.445,0.0,0.0
1552833749868624976,,84,,1552833749,867753982,"""cf1""",,1.436,0.0,0.0
1552833749961854652,,85,,1552833749,961158037,"""cf1""",,1.407,0.0,0.0
1552833750061696704,,86,,1552833750,61022996,"""cf1""",,1.387,0.0,0.0
1552833750162202302,,87,,1552833750,161341905,"""cf1""",,1.363,0.0,0.0
1552833750268809385,,88,,1552833750,268182992,"""cf1""",,1.333,0.0,0.0
1552833750360179613,,89,,1552833750,359494924,"""cf1""",,1.305,0.0,0.0
1552833750460552367,,90,,1552833750,459888935,"""cf1""",,1.286,0.0,0.0
1552833750561022998,,91,,1552833750,559998035,"""cf1""",,1.269,0.0,0.0
1552833750661808109,,92,,1552833750,661216020,"""cf1""",,1.261,0.0,0.0
1552833750767023317,,93,,1552833750,766392946,"""cf1""",,1.254,0.0,0.0
1552833750858404133,,94,,1552833750,857713937,"""cf1""",,1.246,0.0,0.0
1552833750958434779,,95,,1552833750,957859992,"""cf1""",,1.233,0.0,0.0
1552833751058293306,,96,,1552833751,57842016,"""cf1""",,1.209,0.0,0.0
1552833751158575930,,97,,1552833751,157515048,"""cf1""",,1.183,0.0,0.0
1552833751257863243,,98,,1552833751,256937980,"""cf1""",,1.156,0.0,0.0
1552833751357004808,,99,,1552833751,356427907,"""cf1""",,1.128,0.0,0.0
1552833751457770219,,100,,1552833751,457180976,"""cf1""",,1.11,0.0,0.0
1552833751559246712,,101,,1552833751,558608055,"""cf1""",,1.094,0.0,0.0
1552833751664907107,,102,,1552833751,664391994,"""cf1""",,1.075,0.0,0.0
1552833751756165974,,103,,1552833751,755516052,"""cf1""",,1.064,0.0,0.0
1552833751857525297,,104,,1552833751,856802940,"""cf1""",,1.056,0.0,0.0
1552833751956774143,,105,,1552833751,956213951,"""cf1""",,1.059,0.0,0.0
1552833752156616628,,106,,1552833752,156066894,"""cf1""",,1.062,0.0,0.0
1552833752254415924,,107,,1552833752,253845930,"""cf1""",,1.056,0.0,0.0
1552833752355737592,,108,,1552833752,355076074,"""cf1""",,1.051,0.0,0.0
1552833752457623208,,109,,1552833752,456844091,"""cf1""",,1.033,0.0,0.0
1552833752554779082,,110,,1552833752,554035902,"""cf1""",,1.013,0.0,0.0
1552833752654030162,,111,,1552833752,653804063,"""cf1""",,0.992,0.0,0.0
1552833752753685302,,112,,1552833752,752726078,"""cf1""",,0.961,0.0,0.0
1552833752854395850,,113,,1552833752,853380918,"""cf1""",,0.94,0.0,0.0
1552833752953469061,,114,,1552833752,952873945,"""cf1""",,0.913,0.0,0.0
1552833753053481183,,115,,1552833753,52834033,"""cf1""",,0.899,0.0,0.0
1552833753153635497,,116,,1552833753,152940034,"""cf1""",,0.883,0.0,0.0
1552833753253086965,,117,,1552833753,252177953,"""cf1""",,0.875,0.0,0.0
1552833753364845952,,118,,1552833753,364249944,"""cf1""",,0.869,0.0,0.0
1552833753452688893,,119,,1552833753,451992988,"""cf1""",,0.864,0.0,0.0
1552833753552257964,,120,,1552833753,551680088,"""cf1""",,0.861,0.0,0.0
1552833753654362997,,121,,1552833753,653814077,"""cf1""",,0.851,0.0,0.0
1552833753756189823,,122,,1552833753,755248069,"""cf1""",,0.846,0.0,0.0
1552833753850774801,,123,,1552833753,850352048,"""cf1""",,0.833,0.0,0.0
1552833753951121852,,124,,1552833753,950155973,"""cf1""",,0.808,0.0,0.0
1552833754050179643,,125,,1552833754,49429893,"""cf1""",,0.786,0.0,0.0
1552833754149086677,,126,,1552833754,148653984,"""cf1""",,0.759,0.0,0.0
1552833754249770331,,127,,1552833754,248915910,"""cf1""",,0.734,0.0,0.0
1552833754351540699,,128,,1552833754,350982904,"""cf1""",,0.707,0.0,0.0
1552833754599782491,,129,,1552833754,599220037,"""cf1""",,0.686,0.0,0.0
1552833754768892548,,130,,1552833754,768204927,"""cf1""",,0.665,0.0,0.0
1552833754885235827,,131,,1552833754,884485006,"""cf1""",,0.654,0.0,0.0
1552833754991248590,,132,,1552833754,990643978,"""cf1""",,0.649,0.0,0.0
1552833755080814062,,133,,1552833755,79874992,"""cf1""",,0.648,0.0,0.0
1552833755142673163,,134,,1552833755,142116069,"""cf1""",,0.643,0.0,0.0
1552833755204804434,,135,,1552833755,203921079,"""cf1""",,0.638,0.0,0.0
