rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1552833740707222483,,7,,1552833740,688083887,"""world""",,-1.29864490872,-0.000554637463756,0.0396063074423
1552833740807192932,,8,,1552833740,788074017,"""world""",,-1.42967559082,-0.000468651071628,0.0370449351136
1552833740916159990,,9,,1552833740,912873030,"""world""",,-1.28400059881,-0.000393126610022,0.0481941913161
1552833741006492388,,10,,1552833740,987965107,"""world""",,-1.58620893641,-0.000501419720204,0.0392052822414
1552833741106402009,,11,,1552833741,87939978,"""world""",,-1.71728309126,-0.000451769078177,0.0501808307352
1552833741205355700,,12,,1552833741,187896013,"""world""",,-1.24874126241,-0.000269229200351,0.0456433443234
1552833741312167179,,13,,1552833741,287844896,"""world""",,-1.68157701522,-0.000352537650952,0.0418256765306
1552833741404389466,,14,,1552833741,387859106,"""world""",,-1.38497487263,-0.000382406819299,0.0436820163703
1552833741507601176,,15,,1552833741,487812042,"""world""",,-1.12033416636,-0.000171303678631,0.0405546996362
1552833741605431044,,16,,1552833741,587816000,"""world""",,-1.36739411965,-0.000155083015129,0.0501751382803
1552833741709888686,,17,,1552833741,687926054,"""world""",,-1.40831619964,-0.000379534134501,0.0402424687536
1552833741803493906,,18,,1552833741,788178921,"""world""",,-1.58336513717,-0.000225638714465,0.0396064418352
1552833741904282528,,19,,1552833741,887845039,"""world""",,-1.45531944657,-0.000212899192954,0.0437265514804
1552833742004066541,,20,,1552833741,987932920,"""world""",,-1.19909443292,-8.72332604618e-05,0.0427625235407
1552833742104057144,,21,,1552833742,87909937,"""world""",,-1.67434484557,-6.64895267219e-05,0.0376975857231
1552833742202474304,,22,,1552833742,188080072,"""world""",,-1.51499878301,-0.000191036139388,0.046601359602
1552833742302369297,,23,,1552833742,288018942,"""world""",,-1.48206644327,-0.00309870242117,0.0427584940189
1552833742402928190,,24,,1552833742,387902975,"""world""",,-1.66541794755,0.0256022763233,0.0668752012662
1552833742501494441,,25,,1552833742,487878084,"""world""",,-1.190569722,0.0122520682613,0.0487131847346
1552833742609831847,,26,,1552833742,587861061,"""world""",,-1.82795535217,-0.0232217212816,0.080188044793
1552833742701166979,,27,,1552833742,687832117,"""world""",,-1.89081026514,-0.0336656106469,-0.000645613311407
