rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55308850257283E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850259277E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850261295E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850263298E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850265271E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850267321E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850269313E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850271212E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850273145E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850275133E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55308850277127E+018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5530885074515E+018,0.5008689761,0.49927333,0.043004144,0,0,0,0,0,0,0,0,0,0,0,0,-0.07151544,0.1473372172,9.7747401202,0.0001643907,0.0002831489,0.001193814,0,0,0,0,0,0
1.55308850747148E+018,0.5006462932,0.4994923174,0.0432426743,0.0160838171,-0.0066742094,-0.0026403016,0,0,0,0,0,0,0,0,0,-0.066199887,0.1514852868,9.8046076977,0.0001323399,0.0015898609,-0.0015599653,0,0,0,0,0,0
1.55308850749146E+018,0.5006346703,0.4995141625,0.0421947651,0.0150614399,-0.0070834753,-0.0026366078,0,0,0,0,0,0.041,0,0,0,-0.061852103,0.1488706039,9.793775146,-6.06623607356E-05,0.0002436748,5.70434712007E-05,0,0,0,0,0,0
1.55308850751138E+018,0.5008642673,0.4992804825,0.042394314,0.0153863237,-0.0072934713,-0.0026239091,0,0,0,0,0,0.041,0,0,0,-0.0744790647,0.1599743933,9.7956871855,0.0016959148,0.0010225447,-0.0017055209,0,0,0,0,0,0
1.55308850753146E+018,0.5008654594,0.4992725551,0.0425215028,0.0164728654,-0.0070689502,-0.0026736221,0,0,0,0,0,0.041,0,0,0,-0.0635230317,0.1456493636,9.8148695612,-0.0005093646,-0.0003167223,-0.0008954897,0,0,0,0,0,0
