rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1553088507468829580,,2,,1553088507,468674071,"""cf1/base_link""","[0.5006462931632996, 0.4994923174381256, 0.0432426743209362]"
1553088507490366912,,3,,1553088507,490199934,"""cf1/base_link""","[0.5006346702575684, 0.4995141625404358, 0.04219476506114006]"
1553088507508582834,,4,,1553088507,508436583,"""cf1/base_link""","[0.5008642673492432, 0.49928048253059387, 0.04239431396126747]"
1553088507528902348,,5,,1553088507,528787073,"""cf1/base_link""","[0.5008654594421387, 0.49927255511283875, 0.04252150282263756]"
1553088507559527379,,6,,1553088507,559355207,"""cf1/base_link""","[0.5006452798843384, 0.49924907088279724, 0.04347671940922737]"
1553088507569905378,,7,,1553088507,569759556,"""cf1/base_link""","[0.5006413459777832, 0.4994775652885437, 0.043778195977211]"
1553088507589105654,,8,,1553088507,588955141,"""cf1/base_link""","[0.5008612871170044, 0.49952587485313416, 0.040817245841026306]"
1553088507609354745,,9,,1553088507,609175806,"""cf1/base_link""","[0.5008653402328491, 0.4997551739215851, 0.04113341495394707]"
1553088507629190363,,10,,1553088507,628877117,"""cf1/base_link""","[0.5011106133460999, 0.4990171790122986, 0.04216957464814186]"
1553088507648905225,,11,,1553088507,648583693,"""cf1/base_link""","[0.5006407499313354, 0.4994792342185974, 0.04295116662979126]"
1553088507668682205,,12,,1553088507,668377061,"""cf1/base_link""","[0.5006336569786072, 0.49947455525398254, 0.043842535465955734]"
1553088507692600936,,13,,1553088507,692366469,"""cf1/base_link""","[0.5008779764175415, 0.4992414712905884, 0.042812805622816086]"
1553088507710408610,,14,,1553088507,710074452,"""cf1/base_link""","[0.5011295676231384, 0.4989921450614929, 0.04278074577450752]"
1553088507728225129,,15,,1553088507,728020652,"""cf1/base_link""","[0.5011270046234131, 0.499245285987854, 0.04307636618614197]"
1553088507748138455,,16,,1553088507,747825480,"""cf1/base_link""","[0.5006197094917297, 0.49949753284454346, 0.04303733631968498]"
1553088507768408827,,17,,1553088507,768100129,"""cf1/base_link""","[0.5006273984909058, 0.49923035502433777, 0.04384276270866394]"
1553088507788031292,,18,,1553088507,787713378,"""cf1/base_link""","[0.5011292099952698, 0.49925899505615234, 0.041681211441755295]"
1553088507817308700,,19,,1553088507,817000411,"""cf1/base_link""","[0.5008810758590698, 0.4992519021034241, 0.04209534823894501]"
1553088507827815355,,20,,1553088507,827535486,"""cf1/base_link""","[0.5008770227432251, 0.499252587556839, 0.04206181317567825]"
1553088507847583547,,21,,1553088507,847332743,"""cf1/base_link""","[0.5008838772773743, 0.4992474317550659, 0.042339373379945755]"
1553088507868810219,,22,,1553088507,868385127,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1553088507889120192,,23,,1553088507,888877396,"""cf1/base_link""","[-1.4875510032652528e-06, -2.688320819288492e-06, 0.04038714990019798]"
1553088507908581295,,24,,1553088507,908280934,"""cf1/base_link""","[-2.8041997666150564e-06, -0.000359117315383628, 0.041079774498939514]"
1553088507927946687,,25,,1553088507,927622682,"""cf1/base_link""","[0.00017196139378938824, -0.0003676423220895231, 0.04279327765107155]"
1553088507950382706,,26,,1553088507,949993626,"""cf1/base_link""","[2.73314471996855e-05, -4.252979488228448e-05, 0.043232109397649765]"
1553088507968256999,,27,,1553088507,967875243,"""cf1/base_link""","[-0.00016984861576929688, 8.812506166577805e-06, 0.04375103488564491]"
1553088507987995742,,28,,1553088507,987584802,"""cf1/base_link""","[-1.203416923090117e-05, -0.00014391131117008626, 0.04192947968840599]"
1553088508007680422,,29,,1553088508,7322759,"""cf1/base_link""","[0.00016963999951258302, -0.00035514356568455696, 0.041778840124607086]"
1553088508028985464,,30,,1553088508,28720442,"""cf1/base_link""","[0.0002019236417254433, -1.736827107379213e-05, 0.04200229048728943]"
1553088508050940162,,31,,1553088508,50579691,"""cf1/base_link""","[-0.00016321487782988697, 0.00021256302716210485, 0.04194418713450432]"
1553088508076956043,,32,,1553088508,76638579,"""cf1/base_link""","[-0.0002041799743892625, 0.0002701253106351942, 0.04240882769227028]"
1553088508089028686,,33,,1553088508,88731310,"""cf1/base_link""","[0.00016325253818649799, -0.00010388410009909421, 0.04219567030668259]"
1553088508108628093,,34,,1553088508,108371789,"""cf1/base_link""","[0.00019745419558603317, -0.00032948414445854723, 0.042268674820661545]"
