rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
1551188162286714534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103942535818,2.57538843155,0.201699912548,-3.13771474685,-3.12738779153,0.0145961693715
1551188162296574303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103951871395,2.57539367676,0.201690331101,-3.13827161607,-3.12743634112,0.0151549847453
1551188162306545159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103944189847,2.57540655136,0.201686710119,-3.13809006303,-3.12714032085,0.0151435537898
1551188162316862039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103938892484,2.57539248466,0.201691895723,-3.13785369264,-3.12741306183,0.0149028086411
1551188162326813377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103925794363,2.5753865242,0.201675996184,-3.13770063988,-3.12719623528,0.0151414690265
1551188162336594632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103933691978,2.57538533211,0.201698333025,-3.13789203347,-3.12774384208,0.0150153853554
1551188162346852713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103939503431,2.57537961006,0.201697155833,-3.13810915165,-3.12735243794,0.0148089346435
1551188162356647264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103935413063,2.57538676262,0.201686307788,-3.13804371306,-3.12773278717,0.0150705143933
1551188162367455211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103944160044,2.57539820671,0.201691627502,-3.1381081557,-3.12736324021,0.0153956496094
1551188162379889248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103940807283,2.5753891468,0.201694428921,-3.13814463244,-3.12728555659,0.0149674053977
1551188162386724833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103940434754,2.57539343834,0.201692447066,-3.13783217961,-3.12743507059,0.0150514059833
1551188162396748109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103939980268,2.5753903389,0.201691910625,-3.13785801779,-3.12744070458,0.0151916176834
