rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1551188176553698049,,1711,,1551188176,553275564,"""world""",,,1.49117088318,0.273053824902,0.767284333706,,0.0146552408114,-0.00644165836275,-0.999867379665,-0.00300082238391
1551188176553742399,,1712,,1551188176,553337077,"""world""",,,1.48811018467,0.272365421057,0.765972614288,,0.0148152317852,-0.00756557285786,-0.999857008457,-0.0030758085195
1551188176563087261,,1713,,1551188176,562728968,"""world""",,,1.48502671719,0.271693170071,0.764711678028,,0.015097358264,-0.00889991782606,-0.999840259552,-0.00351498182863
1551188176573618867,,1714,,1551188176,573249113,"""world""",,,1.48191523552,0.270960986614,0.763308346272,,0.0152738764882,-0.00910682603717,-0.999837219715,-0.00306409271434
1551188176583108000,,1715,,1551188176,582721386,"""world""",,,1.47883033752,0.270213842392,0.761876404285,,0.0146809257567,-0.011121599935,-0.999824762344,-0.00336780049838
1551188176593586223,,1716,,1551188176,593229063,"""world""",,,1.47572219372,0.26947632432,0.76036465168,,0.0138339037076,-0.012470155023,-0.999819219112,-0.00383927277289
1551188176603251616,,1717,,1551188176,602780021,"""world""",,,1.47265589237,0.268808096647,0.758781194687,,0.0126828039065,-0.0148445805535,-0.999801695347,-0.00393505394459
1551188176603287285,,1718,,1551188176,602859697,"""world""",,,1.46952199936,0.267934769392,0.757137537003,,0.0131688844413,-0.0147289494053,-0.999796152115,-0.00417206436396
1551188176612605295,,1719,,1551188176,612204231,"""world""",,,1.46634566784,0.267385840416,0.755390226841,,0.0126515617594,-0.0183573514223,-0.999746024609,-0.00331339379773
1551188176623057771,,1720,,1551188176,622692947,"""world""",,,1.46323668957,0.266689985991,0.753681719303,,0.013348559849,-0.0183382332325,-0.999733567238,-0.00430099153891
1551188176633564339,,1721,,1551188176,633199186,"""world""",,,1.46021461487,0.26598033309,0.751747667789,,0.0131289511919,-0.0202450454235,-0.999699413776,-0.00436105858535
1551188176643096112,,1722,,1551188176,642697367,"""world""",,,1.45713615417,0.265323013067,0.749756157398,,0.0151905985549,-0.0231992006302,-0.9996098876,-0.00335992360488
1551188176653524722,,1723,,1551188176,653154220,"""world""",,,1.45401513577,0.264714181423,0.747681856155,,0.0155559265986,-0.0244929790497,-0.999572336674,-0.00365883135237
1551188176653558255,,1724,,1551188176,653227637,"""world""",,,1.45090126991,0.26413577795,0.745575249195,,0.0176383219659,-0.0250568147749,-0.999518811703,-0.00481984764338
1551188176663022233,,1725,,1551188176,662636949,"""world""",,,1.44778549671,0.263485103846,0.743223309517,,0.0185611639172,-0.026712693274,-0.999459385872,-0.00479287747294
1551188176673612832,,1726,,1551188176,673168473,"""world""",,,1.44473910332,0.263047903776,0.740703940392,,0.0184985995293,-0.0274612531066,-0.999443888664,-0.00396971730515
1551188176683031564,,1727,,1551188176,682631000,"""world""",,,1.44147253036,0.262313187122,0.738069176674,,0.0213929489255,-0.0288025923073,-0.99934977293,-0.0035722583998
1551188176693456445,,1728,,1551188176,693081505,"""world""",,,1.43847811222,0.261900186539,0.73536413908,,0.0210840962827,-0.02890929766,-0.999350190163,-0.00436702976003
1551188176702885466,,1729,,1551188176,702501080,"""world""",,,1.43527448177,0.26133710146,0.732391357422,,0.0201205629855,-0.0292442925274,-0.999358534813,-0.00475613726303
1551188176702920639,,1730,,1551188176,702561327,"""world""",,,1.43215429783,0.260838747025,0.729266941547,,0.0196017250419,-0.0297777410597,-0.999355018139,-0.00432736426592
1551188176713323410,,1731,,1551188176,712931435,"""world""",,,1.42898273468,0.260423392057,0.72602969408,,0.0184832662344,-0.0301722194999,-0.999365031719,-0.00419703265652
1551188176722754617,,1732,,1551188176,722333348,"""world""",,,1.42590451241,0.259960353374,0.722546339035,,0.0186193138361,-0.0301875397563,-0.999359488487,-0.00476821418852
